firm_id,scenario,firm_size,route_complexity_z,market_pressure_z,digital_maturity_z,trust_barrier_z,idle_capacity_risk_z,asset_pool_likert,shared_crossdock_likert,freight_sharing_likert,chartering_likert,asset_sharing_index,contract_sharing_index,horizontal_info_sharing,horizontal_joint_planning,horizontal_goal_alignment,horizontal_collaboration_index,empty_backhaul_rate,vehicle_utilization_rate,matching_success_rate,collaboration_events_per_month,service_level_on_time_rate,emissions_intensity_index,ai_coordination_score
367,baseline_sporadic,large,-1.096,-1.601,-0.708,0.95,0.376,2,2,2,1,2.0,1.5,2.48,2.8,2.41,2.41,0.132,0.759,0.673,5,0.875,0.924,0.0
368,baseline_sporadic,medium,-1.44,-0.828,-0.712,0.515,0.289,2,1,4,1,1.5,2.5,3.63,4.05,2.51,3.66,0.204,0.874,0.749,5,0.891,0.937,0.0
369,baseline_sporadic,small,1.595,-0.103,-0.111,0.137,1.247,1,3,3,2,2.0,2.5,2.97,3.13,2.02,2.86,0.199,0.866,0.639,6,0.886,0.889,0.0
370,baseline_sporadic,small,-0.847,-1.643,-0.897,0.819,0.826,2,1,2,2,1.5,2.0,3.09,4.14,1.17,2.35,0.172,0.793,0.538,6,0.868,0.943,0.0
371,baseline_sporadic,small,-0.991,-0.176,0.842,0.546,2.5,4,2,3,3,3.0,3.0,4.6,4.3,1.01,4.34,0.087,0.96,0.763,7,0.869,0.879,0.0
372,baseline_sporadic,small,-2.153,1.661,-0.369,1.615,-0.352,1,2,1,1,1.5,1.0,2.06,2.39,1.23,1.26,0.176,0.769,0.551,4,0.868,0.914,0.0
373,baseline_sporadic,small,-0.639,0.021,-2.5,0.677,1.018,1,1,2,3,1.0,2.5,2.91,2.68,2.6,1.98,0.205,0.751,0.591,3,0.84,0.936,0.0
374,baseline_sporadic,small,-1.323,0.231,-0.375,-0.072,-0.029,1,2,1,2,1.5,1.5,2.77,1.8,1.32,2.98,0.151,0.841,0.656,8,0.866,0.965,0.0
375,baseline_sporadic,small,1.642,-1.26,-1.039,1.491,-0.369,2,1,2,1,1.5,1.5,2.85,2.18,1.95,1.0,0.247,0.668,0.613,4,0.831,0.972,0.0
376,baseline_sporadic,small,1.01,-0.616,-1.631,0.405,0.489,2,1,2,2,1.5,2.0,4.22,4.48,1.38,3.62,0.172,0.798,0.609,5,0.824,0.996,0.0
377,baseline_sporadic,medium,-0.688,-0.375,-1.237,1.074,0.637,2,2,2,2,2.0,2.0,2.56,3.16,1.89,1.7,0.225,0.794,0.553,4,0.856,0.904,0.0
378,baseline_sporadic,small,2.252,-0.318,0.109,0.17,2.5,2,1,2,3,1.5,2.5,3.61,3.82,2.55,4.31,0.203,0.842,0.719,6,0.887,0.919,0.0
379,baseline_sporadic,medium,0.982,1.282,1.329,0.015,0.316,3,1,3,3,2.0,3.0,4.99,4.83,1.95,3.51,0.186,0.808,0.778,7,0.883,0.883,0.0
380,baseline_sporadic,small,-0.325,0.558,0.313,0.676,-0.63,1,1,1,2,1.0,1.5,4.15,4.55,1.8,3.39,0.168,0.8,0.556,4,0.857,0.899,0.0
381,baseline_sporadic,small,-2.499,-1.111,-0.607,0.612,0.773,2,2,2,1,2.0,1.5,2.45,4.47,1.62,2.69,0.174,0.81,0.558,6,0.893,0.911,0.0
382,baseline_sporadic,small,2.291,0.247,0.456,1.032,-1.575,2,1,2,1,1.5,1.5,3.16,2.43,2.09,1.85,0.222,0.696,0.564,6,0.843,0.975,0.0
383,baseline_sporadic,small,-1.39,0.498,-0.459,0.358,0.408,1,2,3,2,1.5,2.5,4.06,2.41,2.21,3.05,0.142,0.708,0.588,6,0.821,0.943,0.0
384,baseline_sporadic,medium,-1.645,1.14,-0.695,-1.053,0.516,1,1,3,3,1.0,3.0,4.55,5.0,2.55,4.91,0.162,0.98,0.815,7,0.826,0.878,0.0
385,baseline_sporadic,small,1.023,1.581,-1.154,0.211,1.295,3,1,1,3,2.0,2.0,2.08,5.0,3.02,2.9,0.149,0.82,0.585,5,0.837,0.858,0.0
386,baseline_sporadic,medium,2.44,-1.015,-1.752,1.314,1.474,1,1,5,2,1.0,3.5,3.69,3.85,2.3,2.36,0.194,0.758,0.511,5,0.871,0.996,0.0
387,baseline_sporadic,small,1.384,-0.811,-0.39,0.332,-0.004,3,3,4,1,3.0,2.5,5.0,3.3,1.89,4.23,0.155,0.822,0.755,6,0.853,0.909,0.0
388,baseline_sporadic,small,0.564,-1.258,0.158,0.378,0.349,2,1,3,1,1.5,2.0,3.85,4.38,1.91,2.35,0.204,0.761,0.601,3,0.866,0.916,0.0
389,baseline_sporadic,medium,0.595,-0.234,-0.097,1.488,-0.266,2,2,1,2,2.0,1.5,2.37,3.0,1.56,1.51,0.187,0.787,0.643,6,0.893,0.947,0.0
390,baseline_sporadic,medium,0.853,0.466,-0.416,-0.041,-0.628,2,2,2,2,2.0,2.0,3.7,3.88,2.21,5.0,0.219,0.767,0.638,8,0.835,0.959,0.0
391,baseline_sporadic,large,0.759,0.987,-0.946,-0.789,0.81,1,1,2,1,1.0,1.5,5.0,4.53,3.65,3.69,0.16,0.763,0.616,5,0.87,0.924,0.0
392,baseline_sporadic,small,0.281,-0.076,0.608,0.455,-0.774,2,1,3,2,1.5,2.5,4.6,4.07,2.26,4.03,0.198,0.911,0.725,7,0.874,0.928,0.0
393,baseline_sporadic,small,0.104,-0.32,-1.317,0.164,0.085,1,1,2,2,1.0,2.0,3.96,2.74,1.0,2.34,0.227,0.729,0.603,3,0.838,0.927,0.0
394,baseline_sporadic,medium,-0.063,0.152,0.776,-0.27,-0.495,1,2,1,1,1.5,1.0,4.11,3.3,1.63,3.32,0.251,0.776,0.572,4,0.881,0.989,0.0
395,baseline_sporadic,small,-0.754,-0.835,-1.002,0.442,1.05,2,2,2,3,2.0,2.5,3.42,4.45,1.0,3.58,0.087,0.955,0.705,5,0.865,0.851,0.0
396,baseline_sporadic,medium,-0.281,2.09,-0.752,1.042,2.301,2,2,4,2,2.0,3.0,3.62,4.26,1.84,3.73,0.101,0.905,0.625,9,0.859,0.877,0.0
397,baseline_sporadic,medium,-1.693,-1.608,-1.467,0.592,-0.802,1,2,3,2,1.5,2.5,3.53,3.96,1.0,2.79,0.182,0.86,0.57,5,0.901,0.952,0.0
398,baseline_sporadic,small,-0.098,0.185,-0.501,0.876,-1.353,1,1,3,1,1.0,2.0,3.63,4.01,1.21,3.47,0.12,0.822,0.707,2,0.877,0.944,0.0
399,baseline_sporadic,medium,-0.989,2.024,0.975,2.232,0.375,3,1,3,1,2.0,2.0,4.07,2.67,1.0,1.46,0.116,0.793,0.628,5,0.882,0.962,0.0
400,baseline_sporadic,medium,-1.104,0.007,0.516,0.291,0.516,3,1,2,1,2.0,1.5,4.62,3.75,2.19,3.49,0.14,0.884,0.641,5,0.891,0.943,0.0
401,baseline_sporadic,small,0.18,-0.19,0.978,0.851,0.719,3,2,1,2,2.5,1.5,2.76,1.0,1.87,2.13,0.185,0.778,0.594,2,0.845,0.932,0.0
402,baseline_sporadic,medium,1.392,-0.357,0.522,0.142,0.054,2,2,2,2,2.0,2.0,4.26,3.55,2.29,2.91,0.234,0.712,0.712,5,0.883,0.914,0.0
403,baseline_sporadic,small,0.918,-0.18,-1.104,-0.162,0.299,1,2,2,2,1.5,2.0,4.39,4.47,2.06,3.56,0.176,0.782,0.742,7,0.853,0.973,0.0
404,baseline_sporadic,medium,-1.571,1.373,-0.331,0.074,0.868,4,1,3,2,2.5,2.5,4.77,3.95,1.47,4.01,0.091,0.868,0.7,8,0.858,0.934,0.0
405,baseline_sporadic,small,-0.99,-2.212,-0.78,0.169,1.54,2,1,2,2,1.5,2.0,3.3,3.4,2.33,2.79,0.17,0.809,0.659,8,0.856,0.909,0.0
406,baseline_sporadic,medium,0.941,1.533,1.331,0.924,-1.455,1,2,1,1,1.5,1.0,5.0,2.23,2.75,3.69,0.219,0.75,0.568,3,0.843,0.986,0.0
407,baseline_sporadic,small,-0.982,-1.424,-1.197,2.5,0.131,2,1,2,1,1.5,1.5,1.33,3.25,1.47,1.0,0.204,0.813,0.443,2,0.87,0.942,0.0
408,baseline_sporadic,small,-0.225,-0.267,0.894,-0.044,0.714,3,3,3,2,3.0,2.5,3.98,4.83,2.16,4.89,0.106,0.94,0.751,7,0.876,0.932,0.0
409,baseline_sporadic,medium,0.55,-0.429,0.893,0.225,-0.418,2,2,3,2,2.0,2.5,4.45,4.67,1.33,4.17,0.089,0.863,0.714,5,0.859,0.877,0.0
410,baseline_sporadic,small,-0.968,0.589,1.83,0.543,2.231,4,1,4,3,2.5,3.5,5.0,3.14,1.82,3.83,0.067,0.931,0.837,9,0.889,0.929,0.0
411,baseline_sporadic,small,0.105,-1.598,-0.41,0.956,-0.135,3,2,2,1,2.5,1.5,2.9,3.32,2.11,2.16,0.22,0.754,0.623,5,0.851,0.979,0.0
412,baseline_sporadic,large,-1.334,0.462,0.712,0.837,0.459,1,2,2,1,1.5,1.5,3.24,3.04,2.37,1.98,0.181,0.704,0.488,4,0.848,1.008,0.0
413,baseline_sporadic,large,-0.601,2.024,2.282,1.756,1.056,2,2,2,2,2.0,2.0,4.23,2.95,1.78,2.01,0.155,0.817,0.535,4,0.86,0.916,0.0
414,baseline_sporadic,small,0.32,-1.363,-0.618,-1.5,-0.091,3,2,2,2,2.5,2.0,4.97,4.29,3.15,4.23,0.181,0.885,0.762,7,0.875,0.931,0.0
415,baseline_sporadic,small,-1.593,0.19,-1.535,-1.5,-1.347,1,2,2,1,1.5,1.5,4.14,4.04,2.85,3.81,0.12,0.829,0.809,5,0.877,0.873,0.0
416,baseline_sporadic,small,0.44,-0.662,-1.88,0.154,0.071,1,1,3,1,1.0,2.0,3.83,4.27,2.26,2.44,0.187,0.749,0.588,5,0.85,0.972,0.0
417,baseline_sporadic,small,-0.02,0.426,0.713,1.588,1.529,1,2,3,3,1.5,3.0,3.72,2.08,1.4,2.75,0.154,0.859,0.641,7,0.88,0.946,0.0
418,baseline_sporadic,small,0.552,0.019,-1.883,-0.809,0.163,1,1,4,3,1.0,3.5,5.0,5.0,2.65,5.0,0.12,0.876,0.77,11,0.865,0.97,0.0
419,baseline_sporadic,small,0.224,-0.641,-0.372,-1.5,-0.346,2,3,4,1,2.5,2.5,5.0,5.0,2.27,5.0,0.129,0.958,0.782,10,0.857,0.906,0.0
420,baseline_sporadic,medium,1.364,0.488,0.437,1.114,1.426,2,1,3,2,1.5,2.5,3.79,3.49,1.85,2.95,0.176,0.846,0.655,5,0.832,0.949,0.0
421,baseline_sporadic,medium,0.125,1.804,0.185,0.819,0.169,2,2,1,3,2.0,2.0,3.88,4.26,2.1,3.2,0.122,0.86,0.728,6,0.887,0.889,0.0
422,baseline_sporadic,medium,-0.429,-0.191,0.425,-0.381,-0.01,1,2,3,1,1.5,2.0,4.37,2.91,3.2,4.34,0.159,0.871,0.719,7,0.865,0.931,0.0
423,baseline_sporadic,small,0.122,0.72,0.222,-0.287,0.649,4,2,2,2,3.0,2.0,4.93,3.83,1.6,3.91,0.099,0.814,0.701,6,0.872,0.89,0.0
424,baseline_sporadic,small,0.543,-1.293,1.279,-0.273,1.271,4,1,2,2,2.5,2.0,4.63,4.11,2.6,4.23,0.156,0.875,0.89,7,0.891,0.909,0.0
425,baseline_sporadic,small,0.049,-0.956,-0.952,0.699,2.5,1,1,2,1,1.0,1.5,3.1,4.21,2.58,2.94,0.237,0.783,0.57,2,0.845,0.966,0.0
426,baseline_sporadic,small,0.041,0.472,-0.677,0.036,1.327,4,2,2,1,3.0,1.5,4.94,3.95,2.64,3.41,0.147,0.862,0.672,6,0.837,0.904,0.0
427,baseline_sporadic,small,-0.702,1.484,-0.773,1.045,1.66,2,2,3,3,2.0,3.0,4.82,4.22,2.54,5.0,0.073,0.934,0.808,9,0.875,0.875,0.0
428,baseline_sporadic,medium,-0.663,0.356,0.83,-1.5,-0.006,3,3,1,1,3.0,1.0,3.94,4.03,2.9,4.67,0.141,0.875,0.68,9,0.871,0.899,0.0
429,baseline_sporadic,small,-1.403,-0.313,0.9,-0.171,-0.526,2,1,1,2,1.5,1.5,4.01,4.07,2.81,3.56,0.134,0.932,0.742,4,0.863,0.887,0.0
430,baseline_sporadic,small,1.75,-0.001,0.451,-0.413,0.562,2,3,3,3,2.5,3.0,4.41,5.0,1.9,5.0,0.154,0.877,0.732,8,0.895,0.944,0.0
431,baseline_sporadic,small,-1.244,-1.25,1.183,0.369,0.607,3,4,3,1,3.5,2.0,4.31,4.91,1.43,4.54,0.099,0.958,0.805,6,0.823,0.885,0.0
432,baseline_sporadic,medium,-0.693,0.605,-1.178,0.116,-0.579,2,1,3,1,1.5,2.0,3.99,3.71,2.04,3.27,0.211,0.805,0.672,5,0.882,0.954,0.0
433,baseline_sporadic,small,-0.718,0.882,1.667,1.318,0.325,2,1,1,2,1.5,1.5,3.77,3.54,1.0,2.2,0.218,0.815,0.653,5,0.875,0.902,0.0
434,baseline_sporadic,small,0.895,-0.452,1.523,-1.073,0.899,2,2,2,3,2.0,2.5,5.0,5.0,3.31,4.29,0.147,0.885,0.897,9,0.88,0.913,0.0
435,baseline_sporadic,small,-0.295,-0.47,0.736,0.641,0.86,2,2,2,1,2.0,1.5,2.34,3.84,2.59,2.39,0.2,0.808,0.507,8,0.789,0.963,0.0
436,baseline_sporadic,small,1.248,0.266,1.782,1.103,1.004,1,2,3,3,1.5,3.0,3.29,4.56,1.68,3.18,0.153,0.89,0.736,7,0.892,0.898,0.0
437,baseline_sporadic,small,-0.673,-0.437,-1.657,2.271,0.791,1,1,3,2,1.0,2.5,3.11,3.71,1.2,1.79,0.172,0.764,0.478,3,0.835,1.007,0.0
438,baseline_sporadic,medium,0.279,-0.066,-0.524,0.166,-0.007,1,3,1,2,2.0,1.5,1.84,3.58,1.96,3.28,0.167,0.78,0.516,6,0.847,0.87,0.0
439,baseline_sporadic,small,-0.835,2.1,-0.735,0.892,-0.014,1,1,2,1,1.0,1.5,3.86,3.58,1.66,2.28,0.212,0.781,0.532,3,0.852,0.977,0.0
440,baseline_sporadic,small,2.145,-0.247,0.721,-1.023,-0.699,3,1,1,2,2.0,1.5,4.96,3.92,2.43,3.63,0.245,0.805,0.75,5,0.868,0.973,0.0
441,baseline_sporadic,small,-1.188,-0.358,-1.05,-1.5,2.285,4,3,2,3,3.5,2.5,5.0,4.51,3.26,5.0,0.111,0.956,0.847,11,0.886,0.898,0.0
442,baseline_sporadic,large,0.31,-0.648,0.757,1.36,0.513,2,1,3,2,1.5,2.5,3.35,3.21,1.66,3.02,0.193,0.871,0.611,6,0.878,0.938,0.0
443,baseline_sporadic,small,0.634,0.744,1.371,0.595,0.275,2,2,3,3,2.0,3.0,2.89,4.03,2.74,3.77,0.168,0.836,0.692,6,0.879,0.941,0.0
444,baseline_sporadic,small,0.414,-0.181,0.695,1.661,-0.429,4,4,2,1,4.0,1.5,4.02,2.26,2.12,2.63,0.167,0.799,0.68,5,0.867,0.955,0.0
445,baseline_sporadic,medium,-0.185,-0.649,0.284,-0.636,2.5,3,2,4,1,2.5,2.5,5.0,5.0,2.15,5.0,0.086,0.911,0.821,10,0.881,0.858,0.0
446,baseline_sporadic,medium,-0.13,1.321,-0.988,1.068,-0.573,1,1,2,2,1.0,2.0,3.71,1.14,2.48,3.57,0.225,0.801,0.664,6,0.837,0.959,0.0
447,baseline_sporadic,large,0.044,1.42,-0.847,2.282,0.071,1,1,2,1,1.0,1.5,1.78,4.51,1.0,1.18,0.267,0.754,0.571,0,0.837,0.969,0.0
448,baseline_sporadic,medium,-0.147,-0.6,1.25,0.978,0.916,3,2,4,1,2.5,2.5,4.14,4.96,1.98,2.9,0.134,0.855,0.689,6,0.883,0.877,0.0
449,baseline_sporadic,small,0.964,-1.867,0.779,0.849,1.1,3,2,2,1,2.5,1.5,3.35,3.3,2.45,2.52,0.176,0.773,0.58,4,0.875,0.961,0.0
450,baseline_sporadic,small,2.211,1.008,-0.039,0.608,1.458,2,2,3,2,2.0,2.5,3.36,3.88,1.63,3.4,0.199,0.801,0.703,7,0.876,0.921,0.0
451,baseline_sporadic,medium,-0.557,-0.685,-0.418,-0.814,2.308,3,1,3,2,2.0,2.5,5.0,4.74,2.68,3.92,0.15,0.871,0.704,9,0.855,0.868,0.0
452,baseline_sporadic,small,-1.37,0.791,-2.026,1.82,1.006,1,2,1,2,1.5,1.5,1.63,2.36,1.75,1.2,0.177,0.764,0.45,4,0.873,0.932,0.0
453,baseline_sporadic,small,-0.088,-1.97,-1.071,0.05,-0.556,1,2,1,2,1.5,1.5,2.96,3.75,1.44,3.0,0.147,0.779,0.662,4,0.84,0.901,0.0
454,baseline_sporadic,medium,2.5,0.893,1.911,1.054,0.243,1,3,2,2,2.0,2.0,3.03,3.37,1.79,3.26,0.208,0.759,0.601,4,0.878,0.982,0.0
455,baseline_sporadic,small,-0.804,-1.211,-1.28,-0.807,0.808,2,1,3,3,1.5,3.0,3.51,4.52,2.42,4.87,0.134,0.933,0.67,10,0.861,0.906,0.0
456,baseline_sporadic,small,1.639,0.731,0.189,-0.462,2.5,4,3,4,2,3.5,3.0,5.0,5.0,2.38,5.0,0.138,0.92,0.744,8,0.902,0.942,0.0
457,baseline_sporadic,small,1.678,0.014,1.007,1.892,-0.898,1,1,2,2,1.0,2.0,3.72,1.86,2.81,1.0,0.238,0.807,0.569,0,0.824,0.938,0.0
458,baseline_sporadic,small,-0.554,-0.954,-1.255,0.287,1.703,2,2,2,1,2.0,1.5,3.45,3.65,1.51,3.41,0.156,0.826,0.69,6,0.899,0.947,0.0
459,baseline_sporadic,small,0.569,-0.407,0.185,1.908,0.68,1,1,3,1,1.0,2.0,1.72,2.96,2.03,1.59,0.234,0.728,0.573,2,0.847,1.051,0.0
460,baseline_sporadic,small,1.628,0.686,0.938,0.53,1.338,3,1,2,1,2.0,1.5,4.36,3.61,1.66,3.17,0.201,0.878,0.646,7,0.853,0.943,0.0
461,baseline_sporadic,small,-0.379,0.106,0.012,-1.058,0.398,2,2,3,3,2.0,3.0,5.0,4.66,2.02,4.03,0.109,0.905,0.933,8,0.879,0.909,0.0
462,baseline_sporadic,small,-0.204,0.584,2.5,1.403,-0.342,2,2,2,1,2.0,1.5,3.08,3.97,1.69,1.91,0.179,0.822,0.56,4,0.844,0.957,0.0
463,baseline_sporadic,small,-0.582,1.976,-1.669,0.069,1.251,3,1,3,2,2.0,2.5,3.65,3.85,2.62,3.04,0.09,0.876,0.688,6,0.867,0.849,0.0
464,baseline_sporadic,small,-1.015,-1.564,1.059,1.229,1.154,3,1,3,1,2.0,2.0,3.94,3.57,2.33,1.74,0.156,0.84,0.475,6,0.843,0.948,0.0
465,baseline_sporadic,large,-0.649,1.617,-0.173,0.623,1.472,2,2,2,2,2.0,2.0,4.87,4.64,2.9,3.7,0.168,0.868,0.654,6,0.849,0.931,0.0
466,baseline_sporadic,small,-1.224,0.104,0.772,-0.789,0.487,3,1,1,1,2.0,1.0,3.94,3.85,3.95,3.59,0.175,0.772,0.701,5,0.872,0.926,0.0
467,baseline_sporadic,small,0.034,-0.899,0.441,0.748,-0.1,3,1,2,2,2.0,2.0,2.82,3.77,2.08,4.08,0.199,0.856,0.709,5,0.844,0.905,0.0
468,baseline_sporadic,medium,-0.77,-1.33,-0.733,2.5,-1.059,2,1,1,1,1.5,1.0,2.56,2.23,1.0,1.0,0.199,0.687,0.412,1,0.835,0.987,0.0
469,baseline_sporadic,small,0.234,-0.189,0.229,1.044,1.319,1,1,5,3,1.0,4.0,4.52,4.96,2.36,4.21,0.138,0.883,0.772,6,0.841,0.875,0.0
470,baseline_sporadic,large,-1.556,0.922,-1.858,0.548,0.924,3,1,3,1,2.0,2.0,3.52,3.51,1.83,2.18,0.173,0.806,0.707,6,0.853,0.992,0.0
471,baseline_sporadic,small,0.331,-0.128,0.603,1.568,-0.466,1,2,1,1,1.5,1.0,2.44,3.68,1.96,1.42,0.289,0.741,0.496,0,0.875,0.991,0.0
472,baseline_sporadic,large,0.834,1.511,0.298,0.79,-0.039,2,1,1,3,1.5,2.0,4.26,3.39,1.06,2.73,0.193,0.796,0.504,5,0.839,0.91,0.0
473,baseline_sporadic,small,-1.994,-1.451,0.639,0.789,0.033,4,2,1,1,3.0,1.0,4.08,2.8,3.28,2.62,0.114,0.861,0.636,5,0.851,0.889,0.0
474,baseline_sporadic,medium,0.374,-0.012,1.058,-0.382,-0.983,2,3,1,1,2.5,1.0,3.73,4.36,2.65,3.59,0.205,0.811,0.688,6,0.864,0.932,0.0
475,baseline_sporadic,small,1.228,-1.252,0.368,0.81,-0.318,2,2,2,2,2.0,2.0,3.74,3.36,1.0,2.59,0.242,0.763,0.583,4,0.847,1.037,0.0
476,baseline_sporadic,large,-1.21,0.364,0.148,1.532,-0.634,1,3,3,1,2.0,2.0,2.33,3.73,1.27,1.93,0.147,0.812,0.553,5,0.905,0.9,0.0
477,baseline_sporadic,small,1.673,0.887,-0.881,-0.152,0.088,3,1,3,1,2.0,2.0,4.53,1.97,2.69,4.31,0.201,0.85,0.633,6,0.856,0.933,0.0
478,baseline_sporadic,small,0.419,-0.421,-0.712,1.882,-0.239,1,2,2,1,1.5,1.5,2.45,2.78,2.12,1.63,0.242,0.792,0.359,3,0.855,0.956,0.0
479,baseline_sporadic,large,-0.705,-2.5,1.187,0.517,-1.127,1,2,1,3,1.5,2.0,3.54,3.25,1.16,2.88,0.194,0.771,0.692,6,0.88,0.956,0.0
480,baseline_sporadic,small,-0.056,0.199,1.436,-0.199,2.5,3,4,3,2,3.5,2.5,5.0,3.82,2.96,4.96,0.108,0.864,0.793,9,0.889,0.879,0.0
481,baseline_sporadic,small,0.558,0.437,-0.238,1.498,1.753,3,3,2,1,3.0,1.5,3.39,2.91,1.0,2.6,0.15,0.782,0.698,4,0.868,0.89,0.0
482,baseline_sporadic,small,0.076,0.404,0.046,0.342,-0.279,3,2,4,3,2.5,3.5,5.0,4.09,2.37,4.24,0.104,0.96,0.853,9,0.871,0.873,0.0
483,baseline_sporadic,small,0.539,1.236,-0.905,1.284,0.772,2,2,2,2,2.0,2.0,3.67,3.34,2.43,2.45,0.191,0.847,0.598,5,0.9,0.927,0.0
484,baseline_sporadic,small,-0.921,-1.071,1.173,0.337,0.917,3,3,2,1,3.0,1.5,4.11,2.82,1.77,3.35,0.168,0.818,0.665,7,0.86,0.91,0.0
485,baseline_sporadic,small,0.169,0.68,0.665,0.546,1.691,2,2,1,1,2.0,1.0,4.08,3.54,1.0,3.29,0.199,0.795,0.635,7,0.85,0.926,0.0
486,baseline_sporadic,medium,-1.414,1.193,1.941,1.044,-0.319,2,1,2,2,1.5,2.0,3.95,4.38,1.85,3.38,0.137,0.914,0.68,6,0.853,0.94,0.0
487,baseline_sporadic,small,-0.111,-1.779,-0.878,0.862,1.592,2,2,3,2,2.0,2.5,3.37,3.97,1.63,2.84,0.168,0.856,0.676,7,0.828,0.913,0.0
488,baseline_sporadic,small,-0.904,0.32,-0.378,-1.196,-0.048,3,2,1,1,2.5,1.0,4.41,4.82,2.76,4.98,0.172,0.91,0.762,8,0.883,0.879,0.0
489,baseline_sporadic,large,-0.736,-0.504,0.231,-0.409,-0.836,3,2,1,3,2.5,2.0,4.41,5.0,1.82,4.21,0.143,0.914,0.706,8,0.819,0.891,0.0
490,baseline_sporadic,medium,1.236,-0.082,0.646,1.436,1.224,3,1,3,2,2.0,2.5,3.94,4.43,1.36,2.85,0.146,0.776,0.591,5,0.86,0.93,0.0
491,baseline_sporadic,small,1.091,0.348,-0.216,0.481,1.791,2,1,1,3,1.5,2.0,3.4,5.0,1.0,2.81,0.186,0.772,0.624,3,0.855,0.901,0.0
492,baseline_sporadic,small,0.609,-0.487,-0.873,0.129,2.5,3,2,4,3,2.5,3.5,4.3,4.24,2.59,4.21,0.143,0.908,0.801,8,0.914,0.95,0.0
493,baseline_sporadic,small,-1.092,-0.676,0.881,-0.623,-0.7,2,3,1,1,2.5,1.0,5.0,3.42,2.12,4.62,0.106,0.853,0.618,7,0.828,0.93,0.0
494,baseline_sporadic,small,-0.316,0.034,0.721,-0.372,1.199,2,2,2,3,2.0,2.5,5.0,4.9,1.65,4.39,0.07,0.911,0.675,8,0.852,0.924,0.0
495,baseline_sporadic,small,1.213,-1.087,-0.916,-1.22,0.09,2,3,1,2,2.5,1.5,4.08,4.96,2.61,4.74,0.214,0.842,0.743,7,0.859,0.948,0.0
496,baseline_sporadic,small,0.142,-1.086,1.355,0.509,1.283,3,1,3,1,2.0,2.0,4.42,4.3,2.61,2.8,0.183,0.696,0.648,4,0.855,0.885,0.0
497,baseline_sporadic,small,2.319,0.679,1.17,0.061,-0.97,3,1,4,1,2.0,2.5,4.5,5.0,2.1,3.9,0.196,0.759,0.713,8,0.85,0.988,0.0
498,baseline_sporadic,small,0.393,-1.149,0.134,-0.27,-0.763,2,2,2,2,2.0,2.0,4.54,4.08,2.39,3.82,0.129,0.741,0.685,5,0.862,0.896,0.0
499,baseline_sporadic,large,0.192,0.666,0.08,0.539,-0.276,1,2,1,1,1.5,1.0,3.41,3.5,1.88,2.08,0.232,0.75,0.657,5,0.832,0.935,0.0
500,baseline_sporadic,large,-0.309,0.463,0.554,0.928,0.579,2,3,3,1,2.5,2.0,4.66,2.92,1.22,2.97,0.159,0.85,0.753,5,0.873,0.921,0.0
501,baseline_sporadic,small,0.134,-1.726,-0.862,2.484,-0.141,2,1,1,2,1.5,1.5,2.52,4.11,2.46,1.27,0.157,0.759,0.417,2,0.808,0.984,0.0
502,baseline_sporadic,small,-0.152,-0.678,0.03,-0.761,1.159,3,3,4,2,3.0,3.0,5.0,4.69,2.45,5.0,0.141,0.895,0.798,10,0.868,0.934,0.0
503,baseline_sporadic,small,0.708,1.194,-2.152,1.643,1.527,2,2,3,1,2.0,2.0,3.6,2.98,2.05,2.29,0.187,0.819,0.653,5,0.849,0.962,0.0
504,baseline_sporadic,medium,0.957,-0.981,0.876,1.476,1.1,3,2,1,2,2.5,1.5,3.56,2.95,2.14,1.88,0.181,0.802,0.629,2,0.88,0.926,0.0
505,baseline_sporadic,small,-0.786,-0.464,-1.561,-0.101,2.119,2,2,2,2,2.0,2.0,4.01,3.51,2.1,3.32,0.138,0.792,0.682,7,0.899,0.909,0.0
506,baseline_sporadic,small,-1.331,0.462,1.503,0.783,0.916,2,1,3,1,1.5,2.0,3.96,2.93,2.2,2.71,0.096,0.767,0.564,5,0.856,0.924,0.0
507,baseline_sporadic,medium,-1.836,0.783,-0.33,0.188,-0.717,1,3,2,2,2.0,2.0,3.88,3.47,2.24,3.91,0.145,0.875,0.628,5,0.891,0.91,0.0
508,baseline_sporadic,medium,0.508,-0.252,-0.212,0.767,1.863,3,2,2,2,2.5,2.0,3.8,2.71,1.14,2.9,0.171,0.895,0.627,4,0.856,0.948,0.0
509,baseline_sporadic,medium,-1.103,-0.598,-0.628,1.958,-0.105,3,2,1,1,2.5,1.0,2.32,2.2,1.24,1.0,0.178,0.845,0.523,2,0.838,0.96,0.0
510,baseline_sporadic,small,-2.153,1.422,-0.288,1.145,1.41,2,1,1,2,1.5,1.5,2.58,4.57,1.26,2.43,0.197,0.839,0.649,2,0.895,0.954,0.0
511,baseline_sporadic,small,0.389,1.739,1.419,1.058,2.074,2,1,3,2,1.5,2.5,3.06,4.1,1.58,3.47,0.12,0.797,0.583,8,0.873,0.841,0.0
512,baseline_sporadic,small,2.493,0.979,-2.488,0.213,0.957,3,1,5,3,2.0,4.0,3.34,5.0,1.7,4.49,0.119,0.915,0.71,10,0.868,0.9,0.0
513,baseline_sporadic,medium,-0.006,0.085,1.277,-0.736,-0.996,3,2,3,1,2.5,2.0,4.23,5.0,3.12,4.93,0.11,0.856,0.725,8,0.882,0.896,0.0
